,증상,고객이 증상을 표현한 대화,원인,조치 방안,자가조치 가능여부,자가조치 시 매뉴얼 참조여부,자가조치 참조방법,출동 필요여부,출동 담당업체
,충돌,로봇끼리 회피하지 못하고 멈춤,,,,,,,
,충돌,로봇끼리 충돌,,,,,,,
,충돌,회전하면서 트레이에 있는 음식물이 쏟아짐,,,,,,,
,충돌,의자와 부딪힘,,,,,,,
,충돌,화분 부분에서 아랫 부분에 충돌 현상,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
,충돌,회피 안됨,,,,,,,
,충돌,룸 진입 시 충돌 위험,"자율주행 오류(멈춤, 금지구역침범 등)",맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
,충돌,룸 진입 시 충돌 위험,"자율주행 오류(멈춤, 금지구역침범 등)","S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
,충돌,로봇이 기둥에 부딪힌 이후 작동정지,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
,충돌,특정 테이블에서 턴(회전)할 때 부딪치면서 넘어지려고 함,,,,,,,
,충돌,충돌 감지,센서 이물질,센서 이물질 제거,TRUE,TRUE,"카메라, ToF, 라이다 센서 위치",FALSE,NULL
,충돌,테이블 충돌 자주 발생,3D 카메라 불량,출동 필요,FALSE,FALSE,NULL,TRUE,제조사
,충돌,로봇 주행 시 카트와 부딪힐뻔함,,,,,,,
,충돌,로봇이 충돌을 감지 하였습니다 후 미동작,관성 센서 불량,관성 센서 수리,FALSE,FALSE,NULL,TRUE,제조사
,충돌,"손님자리랑 부딪치거나 멈춤현상, 로봇바닥에 충격흡수고무가 너덜거려서 교체 요청",,,,,,,
,충돌,테이블 충돌 현상,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
,충돌,범퍼 충돌 메시지 발생,TX2(HW) 불량,TX2(HW) 수리,FALSE,FALSE,NULL,TRUE,제조사
,충돌,로봇 주행중 충동오류 현상발생,센서 이물질,센서 이물질 제거,TRUE,TRUE,"카메라, ToF, 라이다 센서 위치",FALSE,NULL
,출발 및 이동 불가,"최근 주행 중 오류 잦음, 출발지에서 출발하지 못함",매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,로봇이 움직이지 않아 재무팅 했는데도 동일현상,,,,,,,
,출발 및 이동 불가,로봇 미동작,관성 센서 불량,관성 센서 수리,FALSE,FALSE,NULL,TRUE,제조사
,출발 및 이동 불가,로봇 미동작,로봇 에러(재부팅 필요),재부팅 후 재시도,TRUE,FALSE,NULL,FALSE,NULL
,출발 및 이동 불가,로봇 불통,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,로봇 불통,모터 불량,로봇 교체,FALSE,FALSE,NULL,TRUE,제조사
,출발 및 이동 불가,로봇 불통,로봇 에러,"S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
,출발 및 이동 불가,주행 불가,로봇 에러(재부팅 필요),재부팅 후 재시도,TRUE,FALSE,NULL,FALSE,NULL
,출발 및 이동 불가,바퀴에러로 주행불가,바퀴 불량,바퀴 불량복구(HW),FALSE,FALSE,NULL,TRUE,제조사
,출발 및 이동 불가,방전상태 대기장소 복구불가,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,로봇 작동 불가,구동부조명 불량,출동 필요,FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,로봇 작동 불가,배터리 불량 등의 이유로 완전 방전,출동 필요,FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,안움직임,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,로봇이 안움직임,Xavier(SW응용부 보드) 불량,Xavier(SW응용부 보드) 수리,FALSE,FALSE,NULL,TRUE,제조사
,출발 및 이동 불가,로봇이 안움직임,로봇 에러(재부팅 필요),재부팅 후 재시도,TRUE,FALSE,NULL,FALSE,NULL
,출발 및 이동 불가,로봇이 잘 안움직임,로봇 에러(재부팅 필요),재부팅 후 재시도,TRUE,FALSE,NULL,FALSE,NULL
,출발 및 이동 불가,로봇이 전혀 안운직임,TX2(HW) 불량,TX2(HW) 수리,FALSE,FALSE,NULL,TRUE,제조사
,출발 및 이동 불가,안움직임,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,로봇 자동 업데이트 후 주행 안됨,로봇 에러,"S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
,출발 및 이동 불가,정상주행 안됨,,,,,,,
,출발 및 이동 불가,대기장소 위치 못 찾음,위치바코드 훼손으로 대기장소 미인식,출동 필요,FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,특정위치 서빙 시 위치 못찾음,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,특정위치 룸에 이동불가,,,,,,,
,출발 및 이동 불가,특정 테이블 경로 못 찾음,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,테이블로 서빙 보냈는데 안 움직임,,,,,,,
,출발 및 이동 불가,로봇 배식구 방향 내리막길에서 안내려감,라이다 센서 불량,라이다 센서 수리,FALSE,FALSE,NULL,TRUE,제조사
,출발 및 이동 불가,이동불가,,,,,,,
,출발 및 이동 불가,이동 못하고 멈춰있음,,,,,,,
,출발 및 이동 불가,좁은통로 이동못함,,,,,,,
,출발 및 이동 불가,운행에러,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,운행에러,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,일부구간 운행에러,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,좁은 구간 진입 시 통과 제대로 못하는 현상,,,,,,,
,출발 및 이동 불가,돌아 나오지 못하는 구간 진입,,,,,,,
,출발 및 이동 불가,로봇 운행 불가,와이파이 연결불량,공유기 불량복구,FALSE,FALSE,NULL,TRUE,KT
,출발 및 이동 불가,로봇 운행 불가,Xavier(SW응용부 보드) 불량,Xavier(SW응용부 보드) 수리,FALSE,FALSE,NULL,TRUE,제조사
,출발 및 이동 불가,로봇 운행 불가,관성 센서 불량,관성 센서 수리,FALSE,FALSE,NULL,TRUE,제조사
,출발 및 이동 불가,서비스 준비 중 상태로 움직이질 않음,Xavier(SW응용부 보드) 불량,Xavier(SW응용부 보드) 수리,FALSE,FALSE,NULL,TRUE,제조사
,멈칫거림 및 멈춤,멈칫거리며 주행,,,,,,,
,멈칫거림 및 멈춤,특정 장소에서 제자리 회전,,,,,,,
,멈칫거림 및 멈춤,갑자기 멈춤,,,,,,,
,멈칫거림 및 멈춤,급출발 급정거로 인한 국물음식 쏟음,,,,,,,
,멈칫거림 및 멈춤,로봇 멈춤,로봇 에러(재부팅 필요),재부팅 후 재시도,TRUE,FALSE,NULL,FALSE,NULL
,멈칫거림 및 멈춤,서빙중 멈춤,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
,멈칫거림 및 멈춤,서빙중 수시로 멈춤,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
,멈칫거림 및 멈춤,업데이트 후 로봇 멈춤,로봇 에러,"S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
,멈칫거림 및 멈춤,멈춤 현상,"자율주행 오류(멈춤, 금지구역침범 등)",민감도 조정,FALSE,FALSE,NULL,TRUE,KT
