Error Code,원인 및 조치,,
3020,"- 원인: 관성 센서 불량

- 고객 직접 조치 방법:
재부팅 후 마커를 인식하여 사용해주세요.",,
2034,"- 원인: 인스톨러(맵셋팅) 오류

- 고객 직접 조치 방법:
재부팅 후 로봇을 주행가능한 영역으로 이동하여 사용해주세요.",,
2033,"- 원인: 인스톨러(맵셋팅) 오류

- 고객 직접 조치 방법:
재부팅 후 로봇을 주행가능한 영역으로 이동하여 사용해주세요.
",,
2030,"- 원인: 인스톨러(맵셋팅) 오류

- 고객 직접 조치 방법: 
재부팅 후 로봇을 주행가능한 영역으로 이동하여 사용해주세요.
",,
2020,"- 원인: 매장 내 테이블 배치 변경

- 고객 직접 조치 방법: 
에러가 발생되는 목적지를 주행가능 영역으로 이동 시켜야 합니다. 설정화면에서 하기와 같이 설정해주세요.
1. 운영장소 : 설정 > 운영 장소 > 대기/퇴식/충전 장소 선택 > 로봇 이동 > 위치 변경
2. 이동장소 : 설정 > 이동 장소 > 일반 경유지 > 목적지 우측 > 로봇 이동 > 위치 변경",,
6001,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6002,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6003,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6004,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6005,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.
",,
6006,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6007,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6008,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6009,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6010,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
3080,"- 원인: SW 에러

- 고객 직접 조치 방법:
1차 : 로봇 Power Off -> On
2차 : 재부팅 후, 동일 에러 발생 시 출동 필요",,
4060,"- 원인: 모터 불량

- 고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.",,
4081,"- 원인: 라이다 센서 불량

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
4040,"- 원인: 관성 센서 불량

- 고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.",,
4300,"- 원인: 모터 불량

- 고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.",,
4100,"- 원인: HW 에러

- 고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.",,
8000,"- 원인: 배터리 불량

- 고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.",,
8001,"- 원인: 전원부 불량

- 고객 직접 조치 방법:
로봇과 충전기 전원을 OFF한 후 5초뒤 ON하여 정상 동작 여부 확인해주세요., 충전기 콘센트 역시 연결상태를 확인해주세요.",,
