ID,Name,Map_id
Q-113,QR코드_부착장소,1층-융기원-20240905154025
남자화장실,남자화장실,2층-융기원-20240905154025
로봇AX솔루션,로봇AX솔루션팀_사무실,3층-융기원-20240905154025
매점,매점,4층-융기원-20240905154025
박석원작품1,박석원_미술작품_1,5층-융기원-20240905154025
박석원작품2,박석원_미술작품_2,6층-융기원-20240905154025
스마트단말SW연구,스마트단말SW팀_사무실,7층-융기원-20240905154025
식당,식당,8층-융기원-20240905154025
여자화장실1,여자화장실,9층-융기원-20240905154025
연구소역사00년대,2000년대_연구소역사전시,10층-융기원-20240905154025
연구소역사10년대,2010년대_연구소역사전시,11층-융기원-20240905154025
연구소역사20년대,2020년대_연구소역사전시,12층-융기원-20240905154025
연구소역사90년대,1990년대_연구소역사전시,13층-융기원-20240905154025
윤명로작품,윤명로_미술작품,14층-융기원-20240905154025
카페,카페,15층-융기원-20240905154025
,,
,,
